hr,min,sec,ax,ay,az,gx,gy,gz,temp
1,2,36,-0.507520,0.159088,0.873032,26.040001,22.959999,15.260000,26.34
1,2,36,-0.526064,0.182024,0.845216,13.090000,6.160000,13.720000,26.32
1,2,36,-0.515816,0.192272,0.833992,7.630000,5.040000,13.510000,26.36
1,2,36,-0.488488,0.189344,0.826184,6.020000,6.160000,13.580000,26.34
1,2,36,-0.466528,0.199104,0.835456,2.730000,5.740000,9.730000,26.34
1,2,36,-0.466040,0.198128,0.843752,1.750000,3.920000,6.930000,26.32
1,2,36,-0.487024,0.197640,0.852536,2.730000,-0.210000,5.250000,26.34
1,2,36,-0.512888,0.170312,0.857904,8.260000,-5.740000,7.490000,26.36
1,2,36,-0.508008,0.202032,0.851072,8.470000,-7.350000,8.330000,26.36
1,2,36,-0.513864,0.195688,0.849120,5.880000,-8.260000,8.050000,26.34
1,2,36,-0.488976,0.187880,0.835456,5.740000,-10.500000,4.200000,26.38
1,2,36,-0.483608,0.196176,0.838384,-2.030000,-13.370000,1.050000,26.38
1,2,36,-0.485072,0.180072,0.842288,-0.070000,-14.630000,-0.560000,26.35
1,2,36,-0.494832,0.190320,0.850584,1.540000,-13.650000,-1.470000,26.35
1,2,36,-0.514840,0.205448,0.852536,0.490000,-10.780000,-0.210000,26.35
1,2,36,-0.470920,0.214232,0.823744,1.400000,-12.040000,1.120000,26.32
1,2,36,-0.448472,0.180560,0.818864,2.870000,-4.480000,1.820000,26.33
1,2,36,-0.451400,0.199104,0.845216,2.240000,-1.260000,1.050000,26.34
1,2,36,-0.479216,0.201544,0.838872,-0.980000,0.420000,-0.420000,26.30
1,2,36,-0.486536,0.200568,0.847656,-1.960000,-1.120000,-1.470000,26.30
1,2,36,-0.498248,0.204960,0.861808,-4.760000,-3.430000,-1.190000,26.34
1,2,36,-0.495320,0.208864,0.876448,-3.080000,-4.200000,0.490000,26.33
1,2,36,-0.473360,0.206424,0.891576,11.060000,-3.920000,4.620000,26.32
1,2,36,-0.479216,0.205448,0.875472,14.070000,-6.160000,5.180000,26.32
1,2,36,-0.497272,0.212768,0.864248,13.370000,-8.680000,4.550000,26.33
1,2,36,-0.494344,0.221552,0.854488,5.460000,-11.480000,1.820000,26.32
