timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:12:08.569,-7835,-0.213,0.014,1.047
2026-02-17T20:12:08.584,-7834,-0.140,0.011,1.110
2026-02-17T20:12:08.599,-7833,-0.255,0.007,0.843
2026-02-17T20:12:08.599,-7832,-0.421,-0.172,0.730
2026-02-17T20:12:08.613,-7831,-0.346,-0.065,0.963
2026-02-17T20:12:08.628,-7830,-0.222,-0.059,0.970
2026-02-17T20:12:08.643,-7829,-0.242,-0.171,0.939
2026-02-17T20:12:10.043,-7828,-0.237,-0.174,0.957
2026-02-17T20:12:10.044,-7827,-0.198,-0.270,1.011
2026-02-17T20:12:10.069,-7826,-0.150,-0.156,1.034
2026-02-17T20:12:10.071,-7825,-0.115,-0.171,0.902
2026-02-17T20:12:10.072,-7824,-0.342,0.034,0.882
2026-02-17T20:12:10.074,-7823,-0.213,0.060,0.929
2026-02-17T20:12:10.074,-7822,-0.214,0.011,1.055
2026-02-17T20:12:10.075,-7821,-0.113,-0.045,1.104
2026-02-17T20:12:10.075,-7820,-0.098,-0.081,1.101
2026-02-17T20:12:10.075,-7819,-0.030,-0.118,0.971
2026-02-17T20:12:10.076,-7818,-0.124,-0.112,1.020
2026-02-17T20:12:10.076,-7817,-0.141,-0.028,1.029
2026-02-17T20:12:10.076,-7815,-0.138,-0.107,0.959
2026-02-17T20:12:10.084,-7814,-0.076,-0.143,1.014
2026-02-17T20:12:10.100,-7813,-0.088,-0.148,1.002
2026-02-17T20:12:10.114,-7812,-0.073,-0.153,1.003
2026-02-17T20:12:10.115,-7811,-0.065,-0.159,0.992
2026-02-17T20:12:10.128,-7810,-0.070,-0.162,0.974
2026-02-17T20:12:10.144,-7809,-0.073,-0.162,0.965
2026-02-17T20:12:10.159,-7808,-0.079,-0.163,0.956
2026-02-17T20:12:10.174,-7807,-0.077,-0.156,0.965
2026-02-17T20:12:10.175,-7806,-0.074,-0.155,0.981
2026-02-17T20:12:10.189,-7805,-0.070,-0.153,1.003
2026-02-17T20:12:10.203,-7804,-0.071,-0.145,1.015
2026-02-17T20:12:10.249,-7803,-0.072,-0.150,1.011
2026-02-17T20:12:10.249,-7802,-0.071,-0.154,0.995
2026-02-17T20:12:10.249,-7801,-0.073,-0.157,0.975
2026-02-17T20:12:10.309,-7799,-0.086,-0.158,0.970
2026-02-17T20:12:10.310,-7798,-0.093,-0.151,0.989
2026-02-17T20:12:10.310,-7797,-0.094,-0.151,1.012
2026-02-17T20:12:10.369,-7795,-0.088,-0.155,1.053
2026-02-17T20:12:10.369,-7794,-0.078,-0.162,1.058
2026-02-17T20:12:10.370,-7793,-0.091,-0.153,1.043
2026-02-17T20:12:10.428,-7791,-0.091,-0.155,1.005
2026-02-17T20:12:10.429,-7790,-0.085,-0.148,0.964
2026-02-17T20:12:10.489,-7789,-0.077,-0.156,0.945
2026-02-17T20:12:10.489,-7787,-0.053,-0.174,0.895
2026-02-17T20:12:10.490,-7786,-0.053,-0.184,0.871
2026-02-17T20:12:10.549,-7784,-0.055,-0.187,0.905
2026-02-17T20:12:10.550,-7783,-0.033,-0.230,1.017
2026-02-17T20:12:10.550,-7782,-0.048,-0.238,1.039
2026-02-17T20:12:10.609,-7780,-0.093,-0.222,1.078
2026-02-17T20:12:10.609,-7779,-0.120,-0.191,1.105
2026-02-17T20:12:10.610,-7778,-0.126,-0.172,1.131
2026-02-17T20:12:10.669,-7776,-0.126,-0.187,1.186
2026-02-17T20:12:10.669,-7775,-0.111,-0.209,1.252
2026-02-17T20:12:10.670,-7774,-0.124,-0.192,1.241
2026-02-17T20:12:10.728,-7772,-0.111,-0.225,1.236
2026-02-17T20:12:10.729,-7771,-0.013,-0.146,1.332
2026-02-17T20:12:10.729,-7770,-0.050,-0.216,1.388
2026-02-17T20:12:10.788,-7768,-0.025,-0.282,1.549
2026-02-17T20:12:10.789,-7767,0.017,-0.214,1.707
2026-02-17T20:12:10.789,-7766,-0.043,-0.284,1.641
2026-02-17T20:12:10.848,-7764,-0.062,-0.346,1.561
2026-02-17T20:12:10.850,-7763,0.032,-0.426,1.725
2026-02-17T20:12:10.850,-7762,0.081,-0.503,1.694
2026-02-17T20:12:10.908,-7760,-0.007,-0.415,1.264
2026-02-17T20:12:10.910,-7759,-0.120,-0.236,0.979
2026-02-17T20:12:10.910,-7758,-0.103,-0.213,1.116
2026-02-17T20:12:10.969,-7756,-0.040,-0.433,1.048
2026-02-17T20:12:10.969,-7755,-0.020,-0.437,0.742
2026-02-17T20:12:10.969,-7754,-0.040,-0.352,0.533
2026-02-17T20:12:11.029,-7752,-0.169,-0.181,0.125
2026-02-17T20:12:11.029,-7751,-0.305,-0.180,-0.393
2026-02-17T20:12:11.030,-7750,-0.248,-0.227,-0.472
2026-02-17T20:12:11.088,-7748,-0.244,-0.196,-0.477
2026-02-17T20:12:11.089,-7747,-0.368,-0.207,-0.768
2026-02-17T20:12:11.089,-7746,-0.331,-0.188,-0.885
2026-02-17T20:12:11.148,-7744,-0.292,-0.103,-1.050
2026-02-17T20:12:11.150,-7743,-0.382,0.030,-1.100
2026-02-17T20:12:11.150,-7742,-0.453,0.059,-1.201
2026-02-17T20:12:11.208,-7740,-0.480,-0.083,-1.120
2026-02-17T20:12:11.209,-7739,-0.467,-0.261,-0.833
2026-02-17T20:12:11.209,-7738,-0.433,-0.359,-0.640
2026-02-17T20:12:11.268,-7736,-0.244,-0.464,-0.126
2026-02-17T20:12:11.269,-7735,-0.184,-0.465,-0.141
2026-02-17T20:12:11.270,-7734,-0.203,-0.378,-0.234
2026-02-17T20:12:11.328,-7732,-0.397,-0.301,-0.433
2026-02-17T20:12:11.329,-7731,-0.419,-0.322,-0.012
2026-02-17T20:12:11.329,-7730,-0.363,-0.369,0.243
2026-02-17T20:12:11.389,-7728,-0.184,-0.406,0.524
2026-02-17T20:12:11.390,-7727,-0.176,-0.356,0.396
2026-02-17T20:12:11.390,-7726,-0.175,-0.344,0.328
2026-02-17T20:12:11.448,-7724,-0.063,-0.368,0.650
2026-02-17T20:12:11.449,-7723,0.011,-0.392,1.338
2026-02-17T20:12:11.449,-7722,-0.107,-0.289,1.344
2026-02-17T20:12:11.509,-7720,-0.095,-0.334,1.279
2026-02-17T20:12:11.509,-7719,0.174,-0.544,1.700
2026-02-17T20:12:11.510,-7718,0.139,-0.548,1.837
2026-02-17T20:12:11.569,-7716,-0.078,-0.404,1.806
2026-02-17T20:12:11.570,-7715,-0.340,-0.244,1.434
2026-02-17T20:12:11.570,-7714,-0.257,-0.313,1.385
2026-02-17T20:12:11.629,-7711,0.014,-0.466,1.643
2026-02-17T20:12:11.629,-7710,-0.061,-0.447,1.556
2026-02-17T20:12:11.630,-7709,-0.118,-0.411,1.403
2026-02-17T20:12:11.748,-7707,-0.253,-0.252,1.080
2026-02-17T20:12:11.749,-7706,-0.181,-0.259,1.218
2026-02-17T20:12:11.749,-7705,-0.015,-0.355,1.458
2026-02-17T20:12:11.751,-7703,0.095,-0.466,1.713
2026-02-17T20:12:11.809,-7701,-0.154,-0.348,1.445
2026-02-17T20:12:11.809,-7700,-0.079,-0.360,1.265
2026-02-17T20:12:11.810,-7699,-0.063,-0.391,1.267
2026-02-17T20:12:11.869,-7697,-0.042,-0.392,1.260
2026-02-17T20:12:11.869,-7696,-0.061,-0.411,1.308
2026-02-17T20:12:11.869,-7695,-0.023,-0.441,1.443
2026-02-17T20:12:11.928,-7693,0.041,-0.542,1.658
2026-02-17T20:12:11.929,-7692,-0.012,-0.454,1.451
2026-02-17T20:12:11.929,-7691,-0.036,-0.427,1.319
2026-02-17T20:12:11.988,-7689,-0.056,-0.447,1.301
2026-02-17T20:12:11.988,-7688,0.000,-0.578,1.515
2026-02-17T20:12:11.989,-7687,0.000,-0.557,1.414
2026-02-17T20:12:12.048,-7684,-0.179,-0.348,0.844
2026-02-17T20:12:12.049,-7683,-0.162,-0.377,0.781
2026-02-17T20:12:12.050,-7682,-0.162,-0.409,0.722
2026-02-17T20:12:12.108,-7680,-0.069,-0.459,0.630
2026-02-17T20:12:12.109,-7679,-0.218,-0.347,0.339
2026-02-17T20:12:12.109,-7678,-0.175,-0.408,0.347
2026-02-17T20:12:12.169,-7676,-0.151,-0.492,0.235
2026-02-17T20:12:12.169,-7675,-0.168,-0.392,0.023
2026-02-17T20:12:12.170,-7674,-0.272,-0.365,-0.111
2026-02-17T20:12:12.228,-7672,-0.432,-0.329,-0.361
2026-02-17T20:12:12.230,-7671,-0.444,-0.325,-0.440
2026-02-17T20:12:12.230,-7670,-0.412,-0.326,-0.531
2026-02-17T20:12:12.289,-7668,-0.354,-0.263,-0.818
2026-02-17T20:12:12.290,-7667,-0.433,-0.230,-0.957
2026-02-17T20:12:12.290,-7666,-0.502,-0.241,-1.000
2026-02-17T20:12:12.349,-7664,-0.399,-0.298,-0.898
2026-02-17T20:12:12.350,-7663,-0.311,-0.516,-0.737
2026-02-17T20:12:12.350,-7662,-0.284,-0.586,-0.561
2026-02-17T20:12:12.409,-7660,-0.271,-0.704,-0.277
2026-02-17T20:12:12.410,-7659,-0.261,-0.599,-0.234
2026-02-17T20:12:12.410,-7658,-0.277,-0.543,-0.340
2026-02-17T20:12:12.469,-7656,-0.305,-0.406,-0.563
2026-02-17T20:12:12.469,-7655,-0.458,-0.278,-0.678
2026-02-17T20:12:12.470,-7654,-0.464,-0.249,-0.569
2026-02-17T20:12:12.529,-7652,-0.378,-0.344,0.003
2026-02-17T20:12:12.529,-7651,-0.191,-0.436,0.431
2026-02-17T20:12:12.530,-7650,-0.226,-0.420,0.352
2026-02-17T20:12:12.589,-7648,-0.305,-0.342,0.133
2026-02-17T20:12:12.589,-7647,-0.105,-0.363,0.564
2026-02-17T20:12:12.590,-7646,0.017,-0.415,0.838
2026-02-17T20:12:12.648,-7644,-0.015,-0.401,1.250
2026-02-17T20:12:12.649,-7643,-0.131,-0.346,1.116
2026-02-17T20:12:12.649,-7642,-0.136,-0.333,1.073
2026-02-17T20:12:12.709,-7640,-0.044,-0.371,1.200
2026-02-17T20:12:12.710,-7639,0.022,-0.319,1.401
2026-02-17T20:12:12.710,-7638,-0.052,-0.268,1.442
2026-02-17T20:12:12.768,-7636,-0.099,-0.203,1.339
2026-02-17T20:12:12.769,-7635,-0.143,-0.142,1.213
2026-02-17T20:12:12.769,-7634,-0.149,-0.132,1.310
2026-02-17T20:12:12.828,-7632,-0.058,-0.189,1.596
2026-02-17T20:12:12.828,-7631,-0.173,-0.109,1.475
2026-02-17T20:12:12.830,-7630,-0.304,0.011,1.324
2026-02-17T20:12:12.889,-7628,-0.224,-0.041,1.420
2026-02-17T20:12:12.889,-7627,-0.018,-0.182,1.634
2026-02-17T20:12:12.890,-7626,0.025,-0.223,1.685
2026-02-17T20:12:12.948,-7624,-0.004,-0.253,1.520
2026-02-17T20:12:12.949,-7623,-0.100,-0.165,1.087
2026-02-17T20:12:12.949,-7622,-0.169,-0.077,0.916
2026-02-17T20:12:13.008,-7620,-0.247,-0.020,0.901
2026-02-17T20:12:13.008,-7619,-0.089,-0.181,1.362
2026-02-17T20:12:13.010,-7618,-0.096,-0.225,1.489
2026-02-17T20:12:13.069,-7616,-0.208,-0.173,1.449
2026-02-17T20:12:13.069,-7615,-0.232,-0.110,1.279
2026-02-17T20:12:13.069,-7614,-0.209,-0.097,1.265
2026-02-17T20:12:13.128,-7612,-0.145,-0.141,1.448
2026-02-17T20:12:13.129,-7611,-0.091,-0.236,1.614
2026-02-17T20:12:13.129,-7610,-0.106,-0.225,1.568
2026-02-17T20:12:13.189,-7608,-0.121,-0.202,1.549
2026-02-17T20:12:13.189,-7607,-0.095,-0.249,1.739
2026-02-17T20:12:13.190,-7606,-0.088,-0.268,1.781
2026-02-17T20:12:13.248,-7604,-0.102,-0.227,1.748
2026-02-17T20:12:13.249,-7603,-0.062,-0.277,1.697
2026-02-17T20:12:13.249,-7602,-0.013,-0.311,1.641
2026-02-17T20:12:13.309,-7600,-0.019,-0.294,1.668
2026-02-17T20:12:13.309,-7599,0.008,-0.315,1.720
2026-02-17T20:12:13.310,-7598,-0.032,-0.247,1.645
2026-02-17T20:12:13.368,-7596,-0.047,-0.186,1.417
2026-02-17T20:12:13.368,-7595,-0.095,-0.121,0.963
2026-02-17T20:12:13.429,-7594,-0.110,-0.037,0.828
2026-02-17T20:12:13.429,-7592,-0.193,-0.098,0.786
2026-02-17T20:12:13.430,-7591,-0.096,-0.003,0.591
2026-02-17T20:12:13.489,-7589,-0.146,0.092,0.218
2026-02-17T20:12:13.489,-7588,-0.360,0.040,-0.470
2026-02-17T20:12:13.490,-7587,-0.358,0.006,-0.469
2026-02-17T20:12:13.548,-7585,-0.287,0.080,-0.619
2026-02-17T20:12:13.549,-7584,-0.195,0.109,-0.884
2026-02-17T20:12:13.549,-7583,-0.195,0.051,-1.087
2026-02-17T20:12:13.608,-7580,-0.683,0.384,-1.615
2026-02-17T20:12:13.608,-7579,-0.486,0.223,-1.583
2026-02-17T20:12:13.610,-7578,-0.168,0.029,-1.418
2026-02-17T20:12:13.669,-7576,0.018,-0.263,-0.955
2026-02-17T20:12:13.669,-7575,-0.052,-0.285,-0.691
2026-02-17T20:12:13.670,-7574,-0.103,-0.244,-0.577
2026-02-17T20:12:13.728,-7572,-0.196,-0.150,-0.594
2026-02-17T20:12:13.729,-7571,-0.226,-0.068,-0.528
2026-02-17T20:12:13.729,-7570,-0.341,-0.001,-0.450
2026-02-17T20:12:13.788,-7568,-0.495,0.018,-0.131
2026-02-17T20:12:13.788,-7567,-0.195,-0.211,0.633
2026-02-17T20:12:13.789,-7566,-0.087,-0.314,0.852
2026-02-17T20:12:13.849,-7564,-0.210,-0.282,0.716
2026-02-17T20:12:13.850,-7563,-0.435,-0.002,0.420
2026-02-17T20:12:13.850,-7562,-0.482,-0.008,0.394
2026-02-17T20:12:13.909,-7559,0.263,-0.248,1.179
2026-02-17T20:12:13.909,-7558,0.194,-0.035,1.500
2026-02-17T20:12:13.910,-7557,-0.093,0.084,1.602
2026-02-17T20:12:13.969,-7555,-0.139,0.161,1.651
2026-02-17T20:12:13.969,-7554,0.277,-0.224,1.802
2026-02-17T20:12:13.970,-7553,0.146,-0.218,1.830
2026-02-17T20:12:14.088,-7551,-0.177,0.175,1.564
2026-02-17T20:12:14.089,-7550,-0.388,0.292,1.675
2026-02-17T20:12:14.089,-7549,-0.092,0.071,1.996
2026-02-17T20:12:14.089,-7547,0.195,-0.224,2.313
2026-02-17T20:12:14.148,-7545,-0.160,-0.148,1.699
2026-02-17T20:12:14.149,-7544,-0.335,0.007,1.305
2026-02-17T20:12:14.209,-7543,-0.218,-0.092,1.526
2026-02-17T20:12:14.210,-7541,-0.083,-0.255,1.834
2026-02-17T20:12:14.210,-7540,-0.195,-0.160,1.720
2026-02-17T20:12:14.268,-7537,-0.243,-0.006,1.306
2026-02-17T20:12:14.269,-7536,-0.162,0.000,1.398
2026-02-17T20:12:14.269,-7535,-0.141,-0.013,1.511
2026-02-17T20:12:14.329,-7533,-0.139,-0.044,1.916
2026-02-17T20:12:14.329,-7532,-0.069,-0.114,2.123
2026-02-17T20:12:14.329,-7531,-0.012,-0.089,2.075
2026-02-17T20:12:14.388,-7529,-0.009,-0.028,1.926
2026-02-17T20:12:14.389,-7528,-0.021,-0.041,1.999
2026-02-17T20:12:14.389,-7527,-0.057,-0.073,2.174
2026-02-17T20:12:14.448,-7525,0.053,-0.142,2.436
2026-02-17T20:12:14.449,-7524,0.075,0.026,2.162
2026-02-17T20:12:14.449,-7523,0.056,0.162,1.912
2026-02-17T20:12:14.509,-7521,-0.087,0.311,1.537
2026-02-17T20:12:14.509,-7520,-0.027,0.329,1.286
2026-02-17T20:12:14.509,-7519,-0.018,0.504,1.054
2026-02-17T20:12:14.568,-7517,-0.150,0.835,0.656
2026-02-17T20:12:14.569,-7516,-0.351,0.962,-0.535
2026-02-17T20:12:14.569,-7515,-0.497,0.769,-0.893
2026-02-17T20:12:14.629,-7513,-0.296,0.664,-0.551
2026-02-17T20:12:14.629,-7512,0.124,0.574,-0.750
2026-02-17T20:12:14.630,-7511,0.320,0.598,-1.095
2026-02-17T20:12:14.689,-7509,-0.015,0.657,-1.975
2026-02-17T20:12:14.749,-7508,-0.465,0.698,-2.082
2026-02-17T20:12:14.750,-7507,-0.479,0.526,-1.762
2026-02-17T20:12:14.750,-7505,-0.122,-0.075,-1.096
2026-02-17T20:12:14.809,-7503,0.070,-0.356,-0.460
2026-02-17T20:12:14.809,-7502,-0.454,0.129,-0.575
2026-02-17T20:12:14.809,-7501,-0.394,0.060,-0.409
2026-02-17T20:12:14.869,-7499,-0.121,-0.269,0.276
2026-02-17T20:12:14.870,-7498,-0.192,-0.386,0.590
2026-02-17T20:12:14.870,-7497,-0.331,-0.306,0.513
2026-02-17T20:12:14.929,-7495,-0.408,-0.339,0.343
2026-02-17T20:12:14.929,-7494,-0.189,-0.482,0.678
2026-02-17T20:12:14.930,-7493,-0.070,-0.501,1.123
2026-02-17T20:12:14.989,-7490,-0.188,-0.462,1.322
2026-02-17T20:12:14.989,-7489,-0.090,-0.644,1.170
2026-02-17T20:12:14.989,-7488,0.069,-0.705,1.140
2026-02-17T20:12:15.049,-7486,0.134,-0.465,1.134
2026-02-17T20:12:15.049,-7485,-0.307,-0.238,1.237
2026-02-17T20:12:15.050,-7484,-0.295,-0.215,1.320
2026-02-17T20:12:15.108,-7481,-0.087,-0.319,1.339
2026-02-17T20:12:15.109,-7480,-0.165,-0.222,1.305
2026-02-17T20:12:15.109,-7479,-0.208,-0.180,1.278
2026-02-17T20:12:15.169,-7477,-0.267,-0.018,1.436
2026-02-17T20:12:15.169,-7476,-0.162,-0.081,1.694
2026-02-17T20:12:15.170,-7475,-0.121,-0.137,1.734
2026-02-17T20:12:15.229,-7473,-0.114,-0.204,1.781
2026-02-17T20:12:15.229,-7472,-0.134,-0.201,1.722
2026-02-17T20:12:15.229,-7471,-0.098,-0.190,1.711
2026-02-17T20:12:15.289,-7468,-0.218,-0.169,1.769
2026-02-17T20:12:15.289,-7467,-0.141,-0.264,1.754
2026-02-17T20:12:15.289,-7466,-0.135,-0.277,1.665
2026-02-17T20:12:15.348,-7464,-0.259,-0.180,1.484
2026-02-17T20:12:15.349,-7463,-0.224,-0.175,1.530
2026-02-17T20:12:15.350,-7462,-0.174,-0.189,1.643
2026-02-17T20:12:15.408,-7460,-0.171,-0.162,1.655
2026-02-17T20:12:15.469,-7459,-0.150,-0.161,1.756
2026-02-17T20:12:15.470,-7458,-0.113,-0.181,1.827
2026-02-17T20:12:15.470,-7455,-0.041,-0.168,1.657
2026-02-17T20:12:15.470,-7454,-0.089,-0.133,1.557
2026-02-17T20:12:15.528,-7452,-0.193,-0.148,1.550
2026-02-17T20:12:15.529,-7451,-0.122,-0.294,1.636
2026-02-17T20:12:15.529,-7450,-0.067,-0.296,1.596
2026-02-17T20:12:15.588,-7448,-0.149,-0.162,1.312
2026-02-17T20:12:15.589,-7447,-0.208,-0.162,1.029
2026-02-17T20:12:15.589,-7446,-0.115,-0.231,1.038
2026-02-17T20:12:15.649,-7444,-0.085,-0.170,0.941
2026-02-17T20:12:15.649,-7443,-0.087,-0.116,0.780
2026-02-17T20:12:15.649,-7442,-0.111,-0.107,0.618
2026-02-17T20:12:15.709,-7440,-0.286,-0.077,0.360
2026-02-17T20:12:15.710,-7439,-0.291,-0.209,0.389
