timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:05:50.115,26384,-0.194,0.293,0.958
2026-02-17T20:05:50.130,26385,-0.154,0.323,0.959
2026-02-17T20:05:50.145,26386,-0.170,0.310,0.908
2026-02-17T20:05:50.160,26387,-0.192,0.285,0.875
2026-02-17T20:05:50.175,26388,-0.188,0.318,0.835
2026-02-17T20:05:50.175,26389,-0.221,0.300,0.879
2026-02-17T20:05:50.190,26390,-0.230,0.279,0.919
2026-02-17T20:05:50.205,26391,-0.208,0.263,0.944
2026-02-17T20:05:50.219,26392,-0.229,0.268,0.952
2026-02-17T20:05:50.234,26393,-0.211,0.288,0.942
2026-02-17T20:05:50.236,26394,-0.219,0.285,0.935
2026-02-17T20:05:50.250,26395,-0.188,0.298,0.929
2026-02-17T20:05:50.265,26396,-0.189,0.300,0.915
2026-02-17T20:05:50.280,26397,-0.189,0.330,0.924
2026-02-17T20:05:50.295,26398,-0.185,0.303,0.956
2026-02-17T20:05:50.295,26399,-0.189,0.288,0.964
2026-02-17T20:05:50.310,26400,-0.274,0.242,0.957
2026-02-17T20:05:50.325,26401,-0.169,0.234,0.990
2026-02-17T20:05:50.340,26402,-0.196,0.231,0.982
2026-02-17T20:05:50.354,26403,-0.243,0.248,0.990
2026-02-17T20:05:50.355,26404,-0.219,0.242,1.025
2026-02-17T20:05:50.370,26405,-0.205,0.246,1.079
2026-02-17T20:05:50.385,26406,-0.281,0.198,1.068
2026-02-17T20:05:50.400,26407,-0.204,0.271,1.144
2026-02-17T20:05:50.415,26408,-0.261,0.323,1.065
2026-02-17T20:05:50.415,26409,-0.327,0.306,0.959
2026-02-17T20:05:50.430,26410,-0.279,0.314,0.897
2026-02-17T20:05:50.444,26411,-0.308,0.477,0.915
2026-02-17T20:05:50.459,26412,-0.066,0.767,1.081
2026-02-17T20:05:50.475,26413,0.241,1.170,1.250
2026-02-17T20:05:50.475,26414,0.440,1.530,1.221
2026-02-17T20:05:50.490,26415,0.542,1.724,1.021
2026-02-17T20:05:50.520,26416,0.518,1.503,0.857
2026-02-17T20:05:50.521,26417,0.403,1.400,0.734
2026-02-17T20:05:50.534,26418,0.320,1.348,0.658
2026-02-17T20:05:50.536,26419,0.255,1.248,0.625
2026-02-17T20:05:50.549,26420,0.178,1.283,0.625
2026-02-17T20:05:50.564,26421,0.175,1.368,0.752
2026-02-17T20:05:50.580,26422,0.217,1.412,0.802
2026-02-17T20:05:50.595,26423,0.411,1.377,0.728
2026-02-17T20:05:50.595,26424,0.552,1.211,0.530
2026-02-17T20:05:50.610,26425,0.641,0.866,0.234
2026-02-17T20:05:50.625,26426,0.587,0.443,0.134
2026-02-17T20:05:50.640,26427,0.541,-0.051,0.232
2026-02-17T20:05:50.654,26428,0.457,-0.502,0.345
2026-02-17T20:05:50.655,26429,0.354,-0.998,0.566
2026-02-17T20:05:50.669,26430,0.235,-1.371,0.899
2026-02-17T20:05:50.684,26431,0.416,-1.412,1.093
2026-02-17T20:05:50.700,26432,0.546,-1.505,1.107
2026-02-17T20:05:50.714,26433,0.319,-1.817,0.984
2026-02-17T20:05:50.715,26434,-0.290,-2.402,1.009
2026-02-17T20:05:50.730,26435,-1.088,-3.162,1.619
2026-02-17T20:05:50.745,26436,-1.465,-3.073,2.696
2026-02-17T20:05:50.759,26437,-1.876,-3.034,3.632
2026-02-17T20:05:50.775,26438,-1.509,-2.098,3.654
2026-02-17T20:05:50.775,26439,-0.523,-2.021,2.480
2026-02-17T20:05:50.790,26440,0.012,-1.684,1.177
2026-02-17T20:05:50.805,26441,0.306,-1.391,0.135
2026-02-17T20:05:50.820,26442,0.368,-1.194,-0.039
2026-02-17T20:05:50.834,26443,0.262,-1.014,0.409
2026-02-17T20:05:50.834,26444,0.121,-0.855,0.842
2026-02-17T20:05:50.849,26445,0.073,-0.771,1.012
2026-02-17T20:05:50.864,26446,0.047,-0.632,0.984
2026-02-17T20:05:50.880,26447,0.169,-0.423,0.940
2026-02-17T20:05:50.895,26448,0.354,-0.054,0.829
2026-02-17T20:05:50.895,26449,0.475,0.298,0.669
2026-02-17T20:05:50.910,26450,0.452,0.631,0.585
2026-02-17T20:05:50.925,26451,0.333,0.820,0.512
2026-02-17T20:05:50.940,26452,0.307,0.893,0.598
2026-02-17T20:05:50.954,26453,0.391,0.998,0.789
2026-02-17T20:05:50.955,26454,0.450,1.070,0.896
2026-02-17T20:05:50.984,26455,0.440,1.130,0.931
2026-02-17T20:05:50.985,26456,0.397,1.227,0.949
2026-02-17T20:05:51.000,26457,0.338,1.274,0.899
2026-02-17T20:05:51.014,26458,0.335,1.331,0.906
2026-02-17T20:05:51.015,26459,0.424,1.504,0.937
2026-02-17T20:05:51.030,26460,0.542,1.676,0.927
2026-02-17T20:05:51.045,26461,0.608,1.764,0.835
2026-02-17T20:05:51.060,26462,0.633,1.778,0.771
2026-02-17T20:05:51.060,26463,0.673,1.784,0.829
2026-02-17T20:05:51.075,26464,0.681,1.740,0.902
2026-02-17T20:05:51.090,26465,0.611,1.599,0.964
2026-02-17T20:05:51.105,26466,0.572,1.581,0.967
2026-02-17T20:05:51.120,26467,0.503,1.666,0.918
2026-02-17T20:05:51.120,26468,0.503,1.707,0.731
2026-02-17T20:05:51.135,26469,0.513,1.607,0.431
2026-02-17T20:05:51.149,26470,0.525,1.407,0.250
2026-02-17T20:05:51.165,26471,0.550,1.101,0.228
2026-02-17T20:05:51.179,26472,0.519,0.730,0.327
2026-02-17T20:05:51.180,26473,0.448,0.286,0.402
2026-02-17T20:05:51.195,26474,0.337,-0.223,0.611
2026-02-17T20:05:51.210,26475,0.296,-0.589,0.811
2026-02-17T20:05:51.224,26476,0.379,-0.756,0.883
2026-02-17T20:05:51.240,26477,0.649,-0.902,0.794
2026-02-17T20:05:51.240,26478,0.874,-1.069,0.670
2026-02-17T20:05:51.255,26479,1.057,-1.337,0.603
2026-02-17T20:05:51.270,26480,1.042,-1.702,0.451
2026-02-17T20:05:51.284,26481,0.723,-2.158,0.587
2026-02-17T20:05:51.300,26482,0.265,-2.472,1.073
2026-02-17T20:05:51.301,26483,-0.179,-2.459,1.820
2026-02-17T20:05:51.330,26484,-1.387,-2.012,2.843
2026-02-17T20:05:51.345,26485,-2.037,-2.090,3.019
2026-02-17T20:05:51.345,26486,-1.929,-1.946,2.637
2026-02-17T20:05:51.360,26487,-1.360,-1.815,1.792
2026-02-17T20:05:51.375,26488,-0.536,-1.793,1.189
2026-02-17T20:05:51.390,26489,0.080,-1.799,1.033
2026-02-17T20:05:51.405,26490,0.418,-1.764,1.113
2026-02-17T20:05:51.405,26491,0.535,-1.678,1.221
2026-02-17T20:05:51.419,26492,0.487,-1.537,1.257
2026-02-17T20:05:51.464,26493,0.371,-1.320,1.100
